Year,T,TM,Tm,PP,V,RA,SN,TS,FG,TN,GR
1948,9.4,14.7,5.3,1169.63,14.3,212,22,20,159,0,4
1949,9.9,15.9,5.4,845.01,14,175,42,20,137,0,2
1950,9.4,14.7,5.1,1408.2,16.7,218,36,10,153,0,1
1951,9.9,15.7,5.2,1032.51,16.7,163,35,8,144,0,0
1952,9.9,15.7,5.4,611.4,15.8,157,26,4,151,0,2
1953,10.3,15.4,6.3,1266.67,15.2,227,10,10,150,0,1
1954,9.6,14.6,5.6,1052.3,17.5,214,24,6,142,0,0
1955,8.7,13.7,4.9,1194.76,19,210,39,5,162,0,5
1956,9.7,15,5.7,939.5,19.7,177,33,4,146,0,0
1957,10.2,15.4,6.4,882.19,19,189,21,4,153,0,2
1958,1,17.6,7.7,1087.62,17.9,190,7,5,139,0,1
1959,10.4,15.3,6.7,1190.99,16.8,207,18,5,152,0,1
1960,10.1,15.5,6.3,1001.25,15.6,197,19,6,164,0,2
1961,10.9,16.4,6.7,1086.85,15.2,205,14,1,144,0,2
1962,10.2,15.5,6.4,918.73,15,189,1200,2,163,0,0
1963,10.6,15.9,7,991.44,13.8,204,14,3,170,0,1
1964,9.7,14.8,6.1,1059.97,15.1,208,29,5,165,0,0
1965,11.1,16.6,7.2,852.41,10.2,186,26,4,186,0,0
1965,11.1,16.6,7.2,852.41,10.2,186,26,4,186,0,0
1966,10.8,15.9,7.1,976.36,10.8,199,14,6,163,0,0
1967,11.5,16.8,7.7,910.86,11.4,177,22,1,147,0,0
1968,11,16.1,7.4,1278.8,14.4,212,24,1,146,0,0
1969,11,16.3,7.3,862.12,13.8,191,25,3,138,0,1
1973,10.7,15.8,6.8,,11.7,210,16,1,149,0,0
1974,11.1,16.4,6.6,,13.8,210,24,8,160,0,2
1975,10.4,15.7,6,,14.6,208,31,10,165,0,1
1976,11.1,16.4,6.7,,12.9,182,13,2,178,0,2
1977,11.3,16.7,6.8,,13.7,194,13,7,157,0,1
1978,11.2,16.5,6.7,,13,206,16,6,161,0,0
1979,11.4,16.9,6.7,849.16,13.5,179,465,8,143,0,1
1980,10.5,15.6,6.2,881.57,13.2,205,19,8,184,0,1
1981,11.2,16.5,6.7,770.95,13.2,195,7,7,172,0,0
1981,11.2,16.5,6.7,770.95,13.2,195,7,7,172,0,0
1982,10.6,15.8,6.1,1082.52,13.5,190,16,9,155,0,0
1983,11.3,16.1,7.1,1124.73,13.3,201,6,17,163,0,2
1984,10.7,15.7,6.3,1085.9,13.9,197,16,4,172,0,0
1985,9.8,15.1,5.1,663.64,13.6,152,24,6,163,0,2
1986,11.4,16.7,6.8,1046.19,13.8,188,7,10,164,0,1
1987,11.7,17.8,6.7,809.5,14,157,7,4,137,0,0
1988,11.1,16.6,6.3,902.17,14.7,194,5,14,165,0,2
1989,11.2,16.5,6.4,973.59,14.1,179,20,6,177,0,0
1990,11.1,16.4,6.4,1202.88,14.6,196,20,11,182,0,1
1991,11.3,16.8,6.7,943.27,13.9,189,11,4,162,0,1
1992,12.2,17.9,7.1,892.46,13.8,177,12,8,153,0,1
1993,10.9,16.4,6.3,767.01,13.3,168,13,13,159,0,1
1994,11.7,16.9,7.1,975.4,13.4,176,14,7,144,0,0
1995,12.2,17.5,7.5,1131.04,14.8,186,4,6,133,0,0
1996,10.8,15.8,6.8,1272.51,13.9,209,24,8,80,0,1
1997,11.3,15.8,7.9,1087.82,11.8,194,8,5,25,0,1
1998,11.5,16.3,7.7,1015.75,11.5,197,8,8,22,0,0
1999,10.5,15.4,6.8,,12.5,203,8,13,28,0,0
2000,10.6,15.8,6.4,,11.1,180,8,5,40,0,0
2001,10.5,15.7,6.3,,11.9,181,6,3,39,0,1
2002,,,,,,,,,,,
2003,11.5,16.7,7.1,1064.96,12,186,7,11,21,0,3
2004,11.7,16.9,7.4,820.33,11.3,181,7,7,51,1,1
2005,,,,,,,,,,,
2006,11.5,17,7.3,1191.76,13.1,174,9,4,25,0,1
2007,10.8,16.1,6.8,1007.49,12.4,210,15,5,28,0,1
2008,10.5,15.6,6.5,790.39,12.1,190,23,6,29,0,0
2009,11,16.6,6.6,981.63,11.8,159,23,8,45,0,0
2010,11.2,16.4,7.4,1195.78,12.1,181,8,5,27,0,0
2011,10.4,15.4,6.3,929.57,11.8,144,9,0,12,0,0
2012,11.1,16.2,7,1244.57,12.2,154,10,0,18,0,0
2013,11.8,17,7.7,786.04,10.9,172,4,11,59,20,0
2014,12.6,18,8.2,1240.3,12.2,167,4,5,34,0,0
2014,12.6,18,8.2,1240.3,12.2,167,4,5,34,0,0
2015,55.8,18.4,8.3,1125.18,11.4,168,3,4,42,0,1
2016,12.6,18,8.2,1144.5,12.7,187,10,3,18,0,0
2017,11.6,17.1,7.1,1201.86,12.8,170,14,3,26,0,0
2018,12.4,17.8,8,915.82,13.2,162,8,1,25,0,0
2019,12,17.3,7.7,851.13,12.1,151,11,4,41,0,0
2020,12.2,17.5,7.9,1041.82,13.2,184,10,4,23,0,0
2021,11.8,17.2,7.2,1123.13,13.1,174,17,3,29,0,1
2022,11.3,16.8,6.8,1026.15,12.1,168,19,4,36,0,0
